Komponente,Grˆﬂe,Einheit,2020,2025,2030,2035,2040,2045,2050
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,Lebensdauer,a,30,30,30,30,30,30,30
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
PKW Ladeinfrastruktur schnell  (reine) Batteriefahrzeuge*,Investition,EUR/Lades‰ule,629102,527507,448894,448894,448894,448894,448894
PKW Ladeinfrastruktur schnell  (reine) Batteriefahrzeuge*,Lebensdauer,a,30,30,30,30,30,30,30
PKW Ladeinfrastruktur schnell  (reine) Batteriefahrzeuge*,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
PKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * PKW,Investition,EUR/Lades‰ule,2243051,2000991,1787894,1788360,1788360,1788360,1788360
PKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * PKW,Lebensdauer,a,30,30,30,30,30,30,30
PKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * PKW,M/O-Kosten,% Invest,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Ladeinfrastruktur CNG Fahrzeuge * PKW,Investition,EUR/Lades‰ule,429350,429350,429350,429350,429350,429350,429350
Ladeinfrastruktur CNG Fahrzeuge * PKW,Lebensdauer,a,30,30,30,30,30,30,30
Ladeinfrastruktur CNG Fahrzeuge * PKW,M/O-Kosten,% Invest,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,Investition,EUR/Lades‰ule,0,93459,0,1451905,0,0,0
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,Lebensdauer,a,30,30,30,30,30,30,30
Ladeinfrastruktur langsam (reine) Batteriefahrzeuge*,M/O-Kosten,% Invest,1.8,1.8,1.8,1.8,1.8,1.8,1.8
LKW Ladeinfrastruktur schnell (reine) Batteriefahrzeuge*,Investition,EUR/Lades‰ule,0,0,0,0,0,0,0
LKW Ladeinfrastruktur schnell (reine) Batteriefahrzeuge*,Lebensdauer,a,30,30,30,30,30,30,30
LKW Ladeinfrastruktur schnell (reine) Batteriefahrzeuge*,M/O-Kosten,% Invest,1.8,1.8,1.8,1.8,1.8,1.8,1.8
LKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * LKW,Investition,EUR/Lades‰ule,2243051,2000991,1787894,1787894,1787894,1787894,1787894
LKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * LKW,Lebensdauer,a,30,30,30,30,30,30,30
LKW Ladeinfrastruktur Brennstoffzellen Fahrzeuge * LKW,M/O-Kosten,% Invest,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Ladeinfrastruktur CNG Fahrzeuge* LKW,Investition,EUR/Lades‰ule,1708860,1584483,1469159,1469159,1469159,1469159,1469159
Ladeinfrastruktur CNG Fahrzeuge* LKW,Lebensdauer,a,30,30,30,30,30,30,30
Ladeinfrastruktur CNG Fahrzeuge* LKW,M/O-Kosten,% Invest,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Biomassekessel Industrie NT,Investition,EUR/kWth,251,243,236,228,221,214,206
Biomassekessel Industrie NT,Lebensdauer,a,20,20,20,20,20,20,20
Biomassekessel Industrie NT,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Biomassekessel Industrie NT,Wirkungsgrad,%,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Solarthermische W‰rme f¸r Industrieprozesse NT (Groﬂ-) W‰rmepumpen (Sole-Wasser) NT,Kosten,EUR/MWhth,89,82,75,69,63,58,54
Solarthermische W‰rme f¸r Industrieprozesse NT (Groﬂ-) W‰rmepumpen (Sole-Wasser) NT,Investition,EUR/kWth,400,375,350,325,300,275,250
Solarthermische W‰rme f¸r Industrieprozesse NT (Groﬂ-) W‰rmepumpen (Sole-Wasser) NT,Lebensdauer,a,20,20,20,20,20,20,20
Solarthermische W‰rme f¸r Industrieprozesse NT (Groﬂ-) W‰rmepumpen (Sole-Wasser) NT,M/O-Kosten,% Invest,3.5,3.5,3.5,3.5,3.5,3.5,3.5
÷lkessel Industrie NT,Investition,EUR/kWth,136,136,136,136,136,136,136
÷lkessel Industrie NT,Lebensdauer,a,20,20,20,20,20,20,20
÷lkessel Industrie NT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
÷lkessel Industrie NT,Wirkungsgrad,%,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Gaskessel Industrie NT,Investition,EUR/kWth,97,97,97,97,97,97,97
Gaskessel Industrie NT,Lebensdauer,a,20,20,20,20,20,20,20
Gaskessel Industrie NT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gaskessel Industrie NT,Wirkungsgrad,%,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Elektrodenkessel NT,Investition,EUR/kWel,136,136,136,136,136,136,136
Elektrodenkessel NT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrodenkessel NT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Elektrodenkessel NT,Wirkungsgrad,%,98.0,98.0,98.0,98.0,98.0,98.0,98.0
BHKW  > 1 MWel NT,Investition,EUR/kWel,650,650,650,650,650,650,650
BHKW  > 1 MWel NT,Lebensdauer,a,20,20,20,20,20,20,20
BHKW  > 1 MWel NT,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BHKW  > 1 MWel NT,Wirkungsgrad el.,%,45.0,45.0,45.0,45.0,45.0,45.0,45.0
BHKW  > 1 MWel NT,Wirkungsgrad th.,%,45,45,45,45,45,45,45
H2-Kessel NT,Investition,EUR/kWth,136,136,136,136,136,136,136
H2-Kessel NT,Lebensdauer,a,20,20,20,20,20,20,20
H2-Kessel NT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
H2-Kessel NT,Wirkungsgrad,%,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Kohlekessel Industrie NT,Investition,EUR/kWth,251,243,236,228,221,214,206
Kohlekessel Industrie NT,Lebensdauer,a,20,20,20,20,20,20,20
Kohlekessel Industrie NT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kohlekessel Industrie NT,Wirkungsgrad,%,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Biomassekessel Industrie HT,Investition,EUR/kWth,251,243,236,228,221,214,206
Biomassekessel Industrie HT,Lebensdauer,a,20,20,20,20,20,20,20
Biomassekessel Industrie HT,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Biomassekessel Industrie HT,Wirkungsgrad,%,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Solarthermische W‰rme f¸r Industrieprozesse HT (Groﬂ-) W‰rmepumpen (Sole-Wasser) HT,Kosten,EUR/kWhth,0.21,0.16,0.13,0.11,0.10,0.10,0.10
Solarthermische W‰rme f¸r Industrieprozesse HT (Groﬂ-) W‰rmepumpen (Sole-Wasser) HT,Investition,EUR/kWth,692,657,638,629,625,625,625
Solarthermische W‰rme f¸r Industrieprozesse HT (Groﬂ-) W‰rmepumpen (Sole-Wasser) HT,Lebensdauer,a,20,20,20,20,20,20,20
Solarthermische W‰rme f¸r Industrieprozesse HT (Groﬂ-) W‰rmepumpen (Sole-Wasser) HT,M/O-Kosten,% Invest,3.5,3.5,3.5,3.5,3.5,3.5,3.5
÷lkessel Industrie HT,Investition,EUR/kWth,136,136,136,136,136,136,136
÷lkessel Industrie HT,Lebensdauer,a,20,20,20,20,20,20,20
÷lkessel Industrie HT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
÷lkessel Industrie HT,Wirkungsgrad,%,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Gaskessel Industrie HT,Investition,EUR/kWth,97,97,97,97,97,97,97
Gaskessel Industrie HT,Lebensdauer,a,20,20,20,20,20,20,20
Gaskessel Industrie HT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gaskessel Industrie HT,Wirkungsgrad,%,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Elektrodenkessel HT,Investition,EUR/kWel,136,136,136,136,136,136,136
Elektrodenkessel HT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrodenkessel HT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Elektrodenkessel HT,Wirkungsgrad,%,98.0,98.0,98.0,98.0,98.0,98.0,98.0
GuD-KWK  > 1 MWel HT,Investition,EUR/kWel,650,650,650,650,650,650,650
GuD-KWK  > 1 MWel HT,Lebensdauer,a,20,20,20,20,20,20,20
GuD-KWK  > 1 MWel HT,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GuD-KWK  > 1 MWel HT,Wirkungsgrad el.,%,45.0,45.0,45.0,45.0,45.0,45.0,45.0
GuD-KWK  > 1 MWel HT,Wirkungsgrad th.,%,45.0,45.0,45.0,45.0,45.0,45.0,45.0
H2-Kessel HT,Investition,EUR/kWth,136,136,136,136,136,136,136
H2-Kessel HT,Lebensdauer,a,20,20,20,20,20,20,20
H2-Kessel HT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
H2-Kessel HT,Wirkungsgrad,%,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Kohlekessel Industrie HT,Investition,EUR/kWth,251,243,236,228,221,214,206
Kohlekessel Industrie HT,Lebensdauer,a,20,20,20,20,20,20,20
Kohlekessel Industrie HT,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kohlekessel Industrie HT,Wirkungsgrad,%,85.0,85.0,85.0,85.0,85.0,85.0,85.0
